Date,Close,Volume,100_MA
2018-10-08,42.990002000000004,2446400,42.86180001999999
2018-10-09,42.25,2595000,42.98960002999999
2018-10-10,39.98,3787800,43.093000039999986
2018-10-11,38.990002000000004,3622800,43.188900059999995
2018-10-12,41.549999,4381800,43.31450005
2018-10-15,41.150002,1914800,43.43220008
2018-10-16,43.41,2193600,43.57130008
2018-10-17,43.169998,1344800,43.69860005
2018-10-18,43.25,1687800,43.82700005000001
2018-10-19,41.490002000000004,2118700,43.92480008000001
2018-10-22,43.689999,2248600,44.03830007000001
2018-10-23,42.669998,1837300,44.14880004000001
2018-10-24,41.810001,2993800,44.25020005000001
2018-10-25,43.5,1953900,44.35600007000001
2018-10-26,40.869999,2166000,44.42990006000001
2018-10-29,38.970001,2122500,44.48530007
2018-10-30,41.389998999999996,2122000,44.56670006
2018-10-31,42.52,2053000,44.67140007000001
2018-11-01,43.459998999999996,1960900,44.773800050000006
2018-11-02,42.84,1647300,44.872300030000005
2018-11-05,42.130001,1849300,44.87710002000001
2018-11-06,40.43,4239100,44.85600001000001
2018-11-07,50.009997999999996,14078900,44.91789999
2018-11-08,54.099998,9780800,45.02559995000001
2018-11-09,52.009997999999996,5687700,45.10359994000001
2018-11-12,50.709998999999996,2476500,45.17469995000001
2018-11-13,47.349998,4722900,45.21639993000001
2018-11-14,47.709998999999996,2638500,45.275999920000004
2018-11-15,48.720001,2100600,45.343399930000004
2018-11-16,47.259997999999996,2715600,45.41179993000001
2018-11-19,45.450001,2019300,45.44389992000001
2018-11-20,43.209998999999996,4715100,45.45409992
2018-11-21,44.02,1984200,45.46649993
2018-11-23,45.27,929400,45.49339991000001
2018-11-26,48.23,2264200,45.5370999
2018-11-27,48.580002,1955600,45.57579993
2018-11-28,51.380001,2273500,45.64449996000001
2018-11-29,52.799999,2333000,45.73459994000001
2018-11-30,54.040001000000004,2818900,45.84109996000001
2018-12-03,56.610001000000004,3112500,45.97479995000001
2018-12-04,54.869999,3177600,46.09349994000001
2018-12-06,55.5,2927400,46.21939994000001
2018-12-07,53.919998,2131400,46.31609992000001
2018-12-10,55.34,1895800,46.425099930000016
2018-12-11,55.279999,1560300,46.54559992000002
2018-12-12,57.43,2229400,46.68189993000003
2018-12-13,55.049999,4371200,46.80009992000003
2018-12-14,54.34,1714000,46.925799920000024
2018-12-17,51.169998,2380900,47.007699900000034
2018-12-18,51.849998,2447100,47.10009987000003
2018-12-19,50.060001,2794800,47.18099987000003
2018-12-20,48.259997999999996,3429600,47.26129985000003
2018-12-21,43.68,5022800,47.28949984000003
2018-12-24,43.119999,1471300,47.30869982000003
2018-12-26,46.900002,3772900,47.35369982000003
2018-12-27,47.349998,1843600,47.411799790000025
2018-12-28,47.290001000000004,1241700,47.460399800000026
2018-12-31,47.57,1527000,47.49769980000002
2019-01-02,47.0,1968600,47.536499810000024
2019-01-03,46.029999,1803100,47.55949980000003
2019-01-04,49.700001,4075000,47.59589980000003
2019-01-07,51.57,3153900,47.65969981000003
2019-01-08,53.880001,2824800,47.737099830000034
2019-01-09,52.77,2078300,47.81619982000004
2019-01-10,51.34,2946800,47.873299810000034
2019-01-11,52.07,1947500,47.92869982000003
2019-01-14,52.040001000000004,1313400,47.98009981000003
2019-01-15,54.330002,1678000,48.04769983000003
2019-01-16,54.529999,2464300,48.11459982000003
2019-01-17,54.59,1543800,48.17239981000003
2019-01-18,55.830002,1966300,48.240299820000025
2019-01-22,53.540001000000004,2091100,48.29429984000003
2019-01-23,53.830002,1307000,48.35379985000002
2019-01-24,54.34,911700,48.41959987000002
2019-01-25,55.0,1360000,48.48649986000002
2019-01-28,54.919998,1255400,48.54879985000002
2019-01-29,53.52,1334000,48.57739985000003
2019-01-30,54.189999,1985000,48.64539985000003
2019-01-31,54.650002,1509700,48.73069988000004
2019-02-01,54.380001,1849500,48.80309990000004
2019-02-04,54.740002000000004,2304700,48.878599930000036
2019-02-05,55.439999,10011200,48.938999900000034
2019-02-06,52.59,5699800,48.973199920000035
2019-02-07,51.529999,2465600,48.98299992000004
2019-02-08,53.150002,2551300,48.98599996000004
2019-02-11,53.150002,2122300,49.01650000000005
2019-02-12,55.830002,2576600,49.058500010000046
2019-02-13,55.040001000000004,2073500,49.10730002000005
2019-02-14,54.060001,1595400,49.16040003000005
